NCT Number,Study Title,Study URL,Acronym,Study Status,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT06469775,LiSWT for Men With Erectile Dysfunction,https://clinicaltrials.gov/study/NCT06469775,,NOT_YET_RECRUITING,NO,Erectile Dysfunction,DEVICE: Low intensity shock wave|COMBINATION_PRODUCT: Control,"Sexual Health Inventory for Men (SHIM), The Sexual Health Inventory for Men (SHIM) is a five-question, abbreviated, validated questionnaire derived from the International Index of Erectile Function questionnaire. It is widely used by urologists to evaluate efficacy of ED treatments. It is graded on a scale of 1-25, with higher scores indicating no signs of erectile dysfunction., Performed at baseline, and then at each follow-up appointment (3, 6, 12, 24 months)","Erection Hardness Score, The Erection Hardness Score (EHS) is another tool often used to evaluate and monitor the severity of ED. It is a four-point scale (1-4), with a score of 4 indicating a completely hard and fully rigid erection., Performed at baseline, and then at each follow-up appointment (3, 6, 12, 24 months)",,"Rutgers, The State University of New Jersey",,MALE,"ADULT, OLDER_ADULT",NA,100,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,Pro2023002194,2024-09-01,2029-09-01,2031-09-01,2024-06-24,,2024-06-28,"Rutgers Robert Wood Johnson Medical School, New Brunswick, New Jersey, 08901, United States",
NCT05109377,Endocan Level in Patients With Erectile Dysfunction and Relationship With Tadalafil Treatment,https://clinicaltrials.gov/study/NCT05109377,,UNKNOWN,NO,Erectile Dysfunction,DIAGNOSTIC_TEST: Endocan|DRUG: tadalafil,"Rates of IIEF Score, Levels of Endocan relationship with IIEF, 1 month","Levels of Endocan, Levels of Endocan with tadalafil treatment, 1 month",,Ankara Training and Research Hospital,,MALE,"ADULT, OLDER_ADULT",NA,90,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: DIAGNOSTIC,E-93471371-514.10,2021-06-24,2021-11-15,2021-12-15,2021-11-05,,2021-11-05,"Veysel Bayburtluoğlu, Ankara, Turkey",
NCT06550752,Erectile Dysfunction Treatment Using Stem Cells,https://clinicaltrials.gov/study/NCT06550752,,NOT_YET_RECRUITING,NO,Erectile Dysfunction,COMBINATION_PRODUCT: UC-MSCs and PRP,"Penile Doppler ultrasonography for assessment of erectile function, Penile Doppler ultrasonography will be used to evaluate erectile function by measuring peak systolic velocity (PSV) in the penile arteries. This parameter will be assessed before the initiation of the treatment and after 4 months of treatment to evaluate blood flow in the penile arteries. The primary outcome will focus on changes in PSV, which will be compared between the baseline and post-treatment assessments to determine the efficacy of the intervention., before treatment and after 4 months","Adverse effects, patients will be asked to report any adverse effects related to the injected product or procedure, Directly after the injection and after two weeks",,COR clinic of Regenerative Medicine,,MALE,"CHILD, ADULT, OLDER_ADULT",PHASE1|PHASE2,30,NETWORK,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,S2024-cor002,2024-08-10,2024-10-01,2024-12-30,2024-08-13,,2024-08-13,"COR clinic for Regenerative Medicine, Beirut, 0000, Lebanon",
NCT05388825,Pharmacodynamic Study of TPN171H Tablets in Patients With Mild to Moderate Erectile Dysfunction,https://clinicaltrials.gov/study/NCT05388825,,COMPLETED,NO,Erectile Dysfunction,DRUG: TPN171H 2.5mg|DRUG: TPN171H 5mg|DRUG: TPN171H 10mg|DRUG: Placebo 5mg|DRUG: Placebo 10mg,"Duration of penile erections of greater than or equal to 60% rigidity as assessed by penile plethysmography (RigiScan PlusTM)., Baseline and during audiovisual sexual stimulation（60minutes）","The starting time of penile erections of greater than or equal to 60% rigidity, Baseline and during audiovisual sexual stimulation（60minutes）|Duration of penile erections of greater than or equal to 60% rigidity as assessed by penile plethysmography (RigiScan PlusTM)., Baseline and during audiovisual sexual stimulation（minutes）|Percentage increase in penile enlargement, Baseline and during audiovisual sexual stimulation（60minutes）|The incidence of penile erection rigidity grade ≥ grade III., Baseline and during audiovisual sexual stimulation（60minutes）",,Vigonvita Life Sciences,,MALE,"ADULT, OLDER_ADULT",PHASE2,84,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",TPN171H-E202,2022-08-01,2023-01-04,2023-02-17,2022-05-24,,2023-02-23,"The First Affiliated Hospital of Anhui Medical University, Hefei, Anhui, 230022, China|Peking University Third Hospital, Beijing, Beijing, 100191, China|The First Affiliated Hospital of Fujian Medical University, Fuzhou, Fujian, 35004, China|Henan Provincial People's Hospital, Zhenzhou, Henan, 450003, China|Nanjing Drum Tower Hospital, Nanjing, Jiangsu, 210008, China|The First Affiliated Hospital of Soochow University, Suzhou, Jiangsu, 215006, China|The First Hospital of Jilin University, Changchun, Jinlin, 130021, China|The Second Hospital of Dalian Medical University, Dalian, Liaoning, 116011, China",
NCT05199727,Shock Wave vs. On-demand Tadalafil for Erectile Dysfunction,https://clinicaltrials.gov/study/NCT05199727,,UNKNOWN,NO,Erectile Dysfunction,DEVICE: LI-ESWT|DRUG: Tadalafil 20Mg Oral Tablet,"Erectile function assessed by International Index of Erectile Function-5, We will asessess erectile function using International Index of Erectile Function-5 (IIEF-5) where scores ≤6, severe; 8-16, moderate; 17-21, mild; and 22-25, none., 3 months","Erection hardness score, We will assess the Erection Hardness Score (EHS) was based on self-estimated rigidity, categorized using a scale of 1- 4: (1) the penis is larger but not hard, (2) the penis is hard but not hard enough for penetration, (3) the penis is hard enough for penetration but not completely hard, and (4) the penis is completely hard and fully rigid for coitus, 3 months",,Menoufia University,,MALE,ADULT,NA,50,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,5/2021UROL9,2021-09-01,2022-03,2022-05,2022-01-20,,2022-01-20,"Menoufia University, Cairo, 32632, Egypt",
NCT04374994,Daily Avanafil for Erectile Dysfunction,https://clinicaltrials.gov/study/NCT04374994,,COMPLETED,NO,Erectile Dysfunction,DRUG: Avanafil 50 MG|DRUG: Placebo oral tablet,"The percentage of change of NO serum level from baseline to 4 weeks, To calculate the percentage of change of Nitric oxide (NO)(in µmol/L) serum level from baseline to 4 weeks post-treatment with avanafil, After 4 weeks treatment|The percentage of change of cGMP serum level from baseline to 4 weeks, To calculate the percentage of change of cyclic guanosine monophosphate (cGMP) (in pmol/ml) serum level from baseline to 4 weeks post-treatment with avanafil, After 4 weeks treatment|The percentage of change of ET1 serum level from baseline to 4 weeks, To calculate the percentage of change of endothelin-1 (ET1) (in ng/L) serum level from baseline to 4 weeks post-treatment with avanafil, After 4 weeks treatment","Comparing avanafil with placebo group regarding post-treatment NO serum levels and percentage of change from baseline., To compare avanafil with placebo group regarding post-treatment nitric oxide (NO) (in µmol/L) serum level and percentage of change from baseline., After 4 weeks treatment|Comparing avanafil with placebo group regarding post-treatment cGMP serum levels and percentage of change from baseline., To compare avanafil with placebo group regarding posttreatment cyclic guanosine monophosphate (cGMP) (in pmol/ml) serum level and percentage of change from baseline., After 4 weeks treatment|Comparing avanafil with placebo group regarding post-treatment ET1 serum levels and percentage of change from baseline., To compare avanafil with placebo group regarding post-treatment endothelin-1 (ET1) (in ng/L) serum level and percentage of change from baseline., After 4 weeks treatment","Measuring the degree of improvement in the IIEF-5 score, The ED male's clinical response to daily avanafil was subjectively assessed by measuring the degree of improvement in the International Index of Erectile Function scoring (IIEF-5 ) score, After 4 weeks treatment",University of Alexandria,,MALE,"ADULT, OLDER_ADULT",PHASE4,70,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: TREATMENT",0105643,2018-09-01,2019-04-15,2019-10-10,2020-05-05,,2020-09-16,"Faculty of Medicine, Alexandria University., Alexandria, Elazareta, 21500, Egypt","Study Protocol, https://cdn.clinicaltrials.gov/large-docs/94/NCT04374994/Prot_002.pdf|Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/94/NCT04374994/SAP_003.pdf"
NCT04720755,Low Intensity Extracorporeal Shock Wave Therapy (Li-ESWT) for Erectile Dysfunction,https://clinicaltrials.gov/study/NCT04720755,,COMPLETED,NO,Erectile Dysfunction,DEVICE: Low-Intensity Extracorporeal Shock Wave Therapy,"Treatment Efficacy, To evaluate the efficacy of the Storz Duolith SD-1 T-top \>\>ultra\<\< Li-ESWT device, 12 months|Treatment Efficacy, To provide data in support of a standardized protocol for the treatment duration for use of this device in treatment of erectile dysfuntion, 12 months|Treatment Efficacy, To provide data in support of a standardized protocol for the treatment dose for use of this device in treatment of erectile dysfuntion, 12 months","Measurement of improvements in penile corporal tissues, To evaluate for upregulation of nNOS, eNOS, BDNF and VEGF within penile corporal tissue, 12 months|Measurement of improvements in penile corporal tissues, To evaluate for improvements in penile blood flow as detectable on penile Doppler and by measurement of intracavernosal pressures, 12 months|Measurement of improvements in penile corporal tissues, To evaluate for improvements in penile blood flow as detectable by measurement of intracavernosal pressures, 12 months",,Hunter Holmes Mcguire Veteran Affairs Medical Center,,MALE,"ADULT, OLDER_ADULT",NA,25,FED,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,1572819,2021-03-01,2023-09-21,2023-09-21,2021-01-22,,2023-09-22,"Hunter Holmes McGuire VAMC, Richmond, Virginia, 23249, United States",
NCT05451563,Double-S: a Wearable Device for Erectile Dysfunction,https://clinicaltrials.gov/study/NCT05451563,,RECRUITING,NO,Erectile Dysfunction,DEVICE: Double-S,"Change in modified International Index of Erectile Dysfunction score, score 0 to 30 with higher score meaning better erectile function, baseline and up to 1 month post-baseline",,,Stanford University,,MALE,"ADULT, OLDER_ADULT",NA,10,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,65457,2024-03-21,2025-06,2025-06,2022-07-11,,2024-03-27,"Stanford Healthcare, Stanford Hospital, Stanford, California, 94304, United States",
NCT05183620,Feeling Hot 2: Penile Skin Temperature Measurements of Nocturnal Erections,https://clinicaltrials.gov/study/NCT05183620,,COMPLETED,NO,Erectile Dysfunction,DEVICE: Feeling Hot sensor system,"Temperature increase, Increase in penile skin temperature during nocturnal erection, 8 hours|(De)tumescence duration, Duration of increased penile skin temperature during erection, 8 hours","Difference between sexual and nocturnal erections, Penile and outer thigh temperature increase difference between sexual and nocturnal erection, 8 hours",,St. Antonius Hospital,,MALE,ADULT,NA,10,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,79969,2022-05-17,2022-06-09,2022-07-27,2022-01-10,,2022-08-03,"Hille Torenvlied, Nieuwegein, 3435 CM, Netherlands",
NCT06543628,Evaluation of Tadalafil Combined With LIPUS for Treating Erectile Dysfunction,https://clinicaltrials.gov/study/NCT06543628,,NOT_YET_RECRUITING,NO,Erectile Dysfunction,DRUG: Tadalafil 5mg|DEVICE: LIPUS (Low Intensity Pulsed Ultrasound),"MCID based on IIEF-5, The primary outcome measure is the Minimum Clinically Important Difference (MCID) based on the International Index of Erectile Function-5 (IIEF-5) scores. MCID will be determined by the change in IIEF-5 scores at 0 months, 2 months, 4 months, and 6 months., 0 months, 2 months, 4 months, 6 months","IIEF-5 Score, The secondary outcome measure is the change in the International Index of Erectile Function-5 (IIEF-5) scores at 0 months, 2 months, 4 months, and 6 months., 0 months, 2 months, 4 months, 6 months|EHS, The change in Erection Hardness Score (EHS) at 0 months, 2 months, 4 months, and 6 months., 0 months, 2 months, 4 months, 6 months|PSV, The change in Peak Systolic Velocity (PSV) measured by Doppler ultrasound at 0 months and 6 months., 0 months, 6 months|EDV, The change in End-Diastolic Velocity (EDV) measured by Doppler ultrasound at 0 months and 6 months., 0 months, 6 months|YMtip Value, The change in Young's Modulus (YM) value measured by elastography at 0 months and 6 months., 0 months, 6 months|YMbase Value, The change in Young's Modulus (YM) value measured by elastography at 0 months and 6 months., 0 months, 6 months",,"Second Affiliated Hospital, School of Medicine, Zhejiang University",,MALE,"ADULT, OLDER_ADULT",NA,114,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2024-0401,2024-08,2025-02,2025-02,2024-08-09,,2024-08-09,,
